url,category,Name,Availability,Region,Preparation,Cost,Description,Tags
https://www.shinseina.world/post/shadow-crystal,unknown,Shadow Crystal,,,,,"An uncommon mineral that is commonly found deep underground within caves where light do not reach, formed from the concentration of both mana and darkness over a long period of time. Breaking the crystal releases the darkness from within, creating a cloak of shadows over the area it is broken for a period of time.",
https://www.shinseina.world/post/seeee,unknown,Seeee,Common,Forest,Grinded,5 Copper,Can increase sight by 50 meters for up to 2 hours.,
https://www.shinseina.world/post/shuddo,unknown,No Title,,,,,,
https://www.shinseina.world/post/sentinel-blossom,unknown,E- Six-Arm Baboon,,Forest.,,,"As the name suggests, this creature was called so though to its behavior of acting like a monkey. They like to swing from tree to tree, along with eating lots of bananas. However, don't let the name fool you, these creatures live for the fight, and would enjoy kicking the shit out of anyone.",
https://www.shinseina.world/post/six-arm-baboon,unknown,E- Six-Arm Baboon,,Forest.,,,"As the name suggests, this creature was called so though to its behavior of acting like a monkey. They like to swing from tree to tree, along with eating lots of bananas. However, don't let the name fool you, these creatures live for the fight, and would enjoy kicking the shit out of anyone.",
https://www.shinseina.world/post/seale,unknown,Shepherd's Purse,Common,Temperate grassland,1 week,"20 copper(raw), 50 copper(prepared)","This herb rarely grows to a height of more than one and a half feet. It has small greyish green leaves, growing smaller towards the summit of the plant. It has small four petalled dirty-white flowers at its peak. If applied to wounds it will stop their bleeding for one hour, and temporarily removes the need to bandage.",
https://www.shinseina.world/post/sklirós,unknown,No Title,,,,,,
https://www.shinseina.world/post/shepherd-s-purse,unknown,Smokdo,Rare,Forest,Eating,N/A,"Upon taking one bit from the fruit, the rest of the fruit vanishes, and the user gains a new ability; this makes it so the user can not gain an ability from another fruit of a similar nature and is unable to touch purified water. This fruit grants the ability to create and control smoke at will.",
https://www.shinseina.world/post/smokdo,unknown,Smokdo,Rare,Forest,Eating,N/A,"Upon taking one bit from the fruit, the rest of the fruit vanishes, and the user gains a new ability; this makes it so the user can not gain an ability from another fruit of a similar nature and is unable to touch purified water. This fruit grants the ability to create and control smoke at will.",
https://www.shinseina.world/post/snow-s-grace,unknown,Snow's Grace,Rare,Frozen Tundra,None,N/A,"A very rare flower that grows only in the coldest parts of the frozen tundra, and is extremely difficult to find, let alone harvest. The flower is freezing cold, and touching it will cause anything to freeze solid, but thanks to this the flower has one special ability. It can freeze anything in order to preserve it in that state, forever.",
https://www.shinseina.world/post/spiakdo,unknown,Spiakdo,Rare,Forest,Eating,N/A,"Upon taking one bit from the fruit, the rest of the fruit vanishes, and the user gains a new ability; this makes it so the user can not gain an ability from another fruit of a similar nature and is unable to touch purified water. This fruit grants the user the ability to create and shoot out spikes from their body at will.",
https://www.shinseina.world/post/ss-deepone,unknown,SS- DeepOne,,Ocean/Unknown.,,,"A massive creature that has only been vaguely spotted once by a deepsea researcher when they got lost far out on the oceans of Shinseina. They reported simply glancing part of the creature, and from what they describe and had drawn, the creature is extremely massive, so large in fact it is believed to easily dwarf a city if on land, with a body that's oddly shaped.",
https://www.shinseina.world/post/ss-e-nd,unknown,SS- E.N.D,,,,,"
Updated: Oct 4, 2024
Abilities: Unknown

Danger Ranking: SS

Rarity: Legendary

Region: Unknown

Description: A godly creature only ever glimpsed once by a man through the clouds. It was described to be the size of a city, maybe even large with unknown abilities. The creature hasn't been seen again in over five thousand years, some wonder if it even existed, to begin with.",
https://www.shinseina.world/post/spirtdo,unknown,SS - Inyo,,Anywhere,,,"Inyo is the name given to a single being that has shown up throughout history multiple times. This being can come in different forms, most often a female; however, some have noted the being looking like a male, while others have seen them as an old withered corpse, and others a young teen. The exact form of the being is unknown, but they are known to appear at key times or at times of disorder in order to bring forth balance. It is said that simply seeing the being is able to grant one an increase in their capabilities, and if one is somehow able to touch the being, they can gain new strengths.",
https://www.shinseina.world/post/ss-inyo,unknown,SS - Inyo,,Anywhere,,,"Inyo is the name given to a single being that has shown up throughout history multiple times. This being can come in different forms, most often a female; however, some have noted the being looking like a male, while others have seen them as an old withered corpse, and others a young teen. The exact form of the being is unknown, but they are known to appear at key times or at times of disorder in order to bring forth balance. It is said that simply seeing the being is able to grant one an increase in their capabilities, and if one is somehow able to touch the being, they can gain new strengths.",
https://www.shinseina.world/post/ss-earth-s-king,unknown,No Title,,,,,,
https://www.shinseina.world/post/starlight-quartz,unknown,No Title,,,,,,
https://www.shinseina.world/post/star-ravens,unknown,F- Star Ravens,,Forest.,,,"A raven-like creature that moves in flocks of 5-10 at a time, and feed on leftover meat on animal corpses. The creature itself is rather docile against people and will not attack unless threatened or starved. The creature is commonly used as low-rank familiars because of how bird-like and easy it is to tame, along with its telepathic abilities.",
https://www.shinseina.world/post/stink-rat,unknown,F- Stink Rat,,Destroyed Swamp.,,,"Another creature that popped up in the wasteland that is known as the destroyed swamp. The rat-like creature normally moves in groups of 2-4 and is a scavenger species, eating anything they get. They are viscous and, most importantly, disgusting; they smell so bad some say it can burn your eyebrows off.",
https://www.shinseina.world/post/tamariske,unknown,Tamariske,Uncommon,Temperate Forest,2 weeks or grinding and sitting.,"1 silver(raw), 4 silver(prepared)","A standard medicine all around the world. This herb will cleanse wounds, removing all minor infections.",
