url,category,Name,Availability,Region,Preparation,Cost,Description,Tags
https://www.shinseina.world/post/c-star-hopper,unknown,C - Star Hopper,,Anywhere.,,,"Star Hoppers are creatures that barely do harm but are quite mischievous and playful, there are different kinds of these creatures with each representing a certain constellation, they like to play tricks on people but do not be fooled by these adorable fluffy creatures for they have an intelligence comparable to a dolphin and knows how to hold a grudge, but if you managed to befriend one, all of them would be your friend forever.",
https://www.shinseina.world/post/c-soul-taker,unknown,No Title,,,,,,
https://www.shinseina.world/post/c-tormentor,unknown,C- Tormentor,,,,,"
Updated: Jun 29, 2024
Abilities:
•Can make people see whatever it wants them to see. It tends to show them nightmares.
•It can induce fear just by looking at someone
•Flight
•Whenever it's somewhere, the area around it feels as though all the good feelings in the world have vanished. Depression.
•It can change between intangible and tangible at will, except a spot directly below its neck

Danger Ranking: C

Rarity: Rare

Region: Unknown

Description: A fearful creature that is said to be the embodiment of all things depressing, by common folks. They are extremely rare to run into or even find, and you normally won't find more than one in a certain area even if you get lucky.",
https://www.shinseina.world/post/c-two-horned-bone-king,unknown,C- Two-Horned Bone King,,,,,"
Updated: Oct 2, 2024
Abilities:
•Can raise up to 15 undead from around it
•Can reattach its broken body parts
•Can drain the life force of any plant or animal it touches

Danger Ranking: C

Rarity: Rare+

Region: None

Description: The two-horned bone king's name was given thanks to its skeleton-like figure and the absolute need of two bone horns on its head. The King part was added thanks to its ability to summon undead knights to fight for it.",
https://www.shinseina.world/post/c-syena,unknown,C- Warped Gnall,,Corrupted Swamp,,,"Speculated to be a werewolf that wandered too far into the corrupted swamp. This creature is a huge, aggressive rat-ish humanoid that enjoys toying with its prey. It has a sadistic love for cruelty and torture, making it a bane to travelers passing through the corrupted swamp.",
https://www.shinseina.world/post/c-warped-gnall,unknown,C- Warped Gnall,,Corrupted Swamp,,,"Speculated to be a werewolf that wandered too far into the corrupted swamp. This creature is a huge, aggressive rat-ish humanoid that enjoys toying with its prey. It has a sadistic love for cruelty and torture, making it a bane to travelers passing through the corrupted swamp.",
https://www.shinseina.world/post/c-whispering-theif,unknown,C - Whispering Theif,,Anywhere.,,,"A creature that is believed to be born from the spirit of people that died within the forest in a brutal manner, thieves and criminals primarily. These creatures are said to be able to teleport at will, using their capabilities to play tricks and mess with the poor people that stumble within their paths. While harmless and not hostile unless attacked, they love to mess with people and steal things from them.",
https://www.shinseina.world/post/c-waterwing,unknown,C - Waterwing,,"Oceans, Near islands",,,"The Waterwing is large, able to comfortably fit a fully grown person of any race on its back. Its skin is blue-grey and its large fins, which partially elevate it out of the water like the mundane flying fish, are orange with dark markings. Its head also resembes that of a gharial. Although its immense strength and flight skills allows the Waterwing to use its wings to fly in ground effect above the water, its tail remains in the water to propel it forward. With its powerful tail, the Waterwing can travel at speeds rivalling even the fastest races.",
https://www.shinseina.world/post/c-wrawn-lord,unknown,C- Wrawn Lord,,,,,"
Updated: Jun 29, 2024
Abilities:
•Gaseous main body made of mana.
•Very fast.
•Levitation up to 5 meters off the ground.
•Consumes mana via ‘eating’.

Danger Ranking: C

Rarity: Rare

Region: Graveyards & Dark places.

Description: Rumored to be corrupted spectres, these are spirit-like creatures that kill anything they see and consume their victim’s mana. They do this by pushing their face close to the victim and, similar to the Drain spell, absorb the mana from them. This process is slow but thorough enough to kill the victim. In very rare cases, some will seek out murderers and kill them with their incredibly quick six bladed limbs. They will not harm vampires, but it is unknown why.",
https://www.shinseina.world/post/c-wyvern-fish,unknown,No Title,,,,,,
https://www.shinseina.world/post/c-yad-raven,unknown,C - Yad Raven,,Anywhere.,,,"A raven-like creature that is usually solitary, the opposite of the Star Raven, a species they are commonly connected to due to their similarity. The creature feeds on animals by messing with their minds, making them fight and kill each other and then eat the flesh from their dead corpse. The creature itself is rather docile or outright avoidance of people and will not attack unless threatened, hungry, or attempted to be touched. The creature is untamable and will not listen to anyone; even forcing the creature will result in it choosing to kill itself by melting its mind.",
