url,category,Name,Availability,Region,Preparation,Cost,Description,Tags
https://www.shinseina.world/post/__eap,unknown,F- Eap,,Forest.,,,"A relatively harmless creature that is similar to a bunny and cat crossbreed. They normally move in groups of 5 and are only herbivorous. They are often hunted for their soft and tasty meats, which makes them often run from people.",
https://www.shinseina.world/post/__zur,unknown,Zur,"Can't be found outside of region(Uncommon), is common in region",Underground,Brew,12 - 50 copper,"This fungus must be brewed for six to seven hours. Successfully brewing will result in doubled perception for an hour, slightly addictive.",
https://www.shinseina.world/post/_aloe,unknown,Aloe,Common,"Plains, arid shrubland",none,10 copper,"The leaf of Aloe applied to a wound, will double the natural healing rate of burns and minor cuts.",
https://www.shinseina.world/post/__ash,unknown,No Title,,,,,,
https://www.shinseina.world/post/_arca,unknown,Arca,,,,,"Arcanite is a mineral that can be found in the caves and underground of the Dragon Realm, commonly found growing on the backs of spiders or other similar insects, and use them to grow. The mineral absorbs a portion of the blood that the creatures feed on, and by doing so they grow larger in size. While the mineral itself isn't very good of crafting weapons, thanks to its ability to absorb blood and grow it is interesting.",
https://www.shinseina.world/post/_balm,unknown,Balm,Uncommon,Sub-tropical forest,1 hour boiling,"10 copper(raw), 15 copper (prepared)","Balm is a plant about 2 to 3 feet tall with squarish stems. It has oval, serrated leaves. It has small flowers which can be any shade from white to blue, which form small clusters at the base of the leaves. The herb should be boiled and given to women suffering menstrual pains.",
https://www.shinseina.world/post/_pogo,unknown,No Title,,,,,,
https://www.shinseina.world/post/_lala,unknown,No Title,,,,,,
https://www.shinseina.world/post/_weed,unknown,Weed,Common,None,Smoking,10 Copper,The leaves of this plant can be smoked in order to grant a relaxing pleasure to the user.,
https://www.shinseina.world/post/_faae,unknown,A- Arcane Creeper,,Anywhere.,,,"A creature with little known of it, that is believed to have been created during the age of great arcane development but has long been forgotten, however, this is mere speculation, as, the creature is simply so hard to find that learn more about it is hard. They are smart and hide from anyone trying to find them, only watching.",
https://www.shinseina.world/post/a-arcane-creeper,unknown,A- Arcane Creeper,,Anywhere.,,,"A creature with little known of it, that is believed to have been created during the age of great arcane development but has long been forgotten, however, this is mere speculation, as, the creature is simply so hard to find that learn more about it is hard. They are smart and hide from anyone trying to find them, only watching.",
https://www.shinseina.world/post/a-big-foot,unknown,A- Big Foot,,,,,"
Updated: Jun 7, 2024
Abilities: Unknown

Danger Ranking: A

Rarity: Legendary

Region: Unknown

Description: A creature that was only spotted a few times in history and even those sightings are still believed to be just fake rumors. If this creature those exist it has yet to be found or even documented, this picture is just a rough image made off the description given.",
https://www.shinseina.world/post/a-corrupted-infection,unknown,A - Corrupted Infection,,Dragon Realm.,,,"The Corrupted Infection is a name given to the creature, or rather creatures, that are born from the radiation given off by the sealed Ragnarok, corrupting the very being of the creature and making a twisted, evil, madness that is the corrupted infection. A tumor that only seeks to grow and devour things.",
https://www.shinseina.world/post/a-dark-peacock,unknown,A - Dark Peacock,,Swamp,,,"A type of peacock that is said to have mutated because of the corruption of the swamp, becoming a creature that is dark in nature and feeds on the fear of creatures around it. Sending them mad than eating them. They are inherently hostile to everything moving.",
https://www.shinseina.world/post/a-corrupted-chimera,unknown,A - Darkliod,,Anywhere,,,"A creature formed from darkness and mana that hungers for pure death and negative emotions, feeding on the life force of people and their negative emotions. They don't have a single place to stay, moving from place to place and hunting prey.",
https://www.shinseina.world/post/a-darkliod,unknown,A - Darkliod,,Anywhere,,,"A creature formed from darkness and mana that hungers for pure death and negative emotions, feeding on the life force of people and their negative emotions. They don't have a single place to stay, moving from place to place and hunting prey.",
https://www.shinseina.world/post/a-azid,unknown,A- Azid,,,,,"
Updated: Jul 21, 2024
Abilities:
•Body mostly covered in compressed, tough snow
•Immune to the cold
•Bones and claws are made of extremely durable ice
•Super smell
•Fast despite its size
•Can camouflage itself with large bodies of snow
•Always covered by a snowstorm
•Has a ice core instead of a brain the size of a bowling ball

Danger Ranking: A

Rarity: Rare+

Region: Tundra & Snowpeaks

Description: Giant snow leopards that protect snowy environments from entities of heat like phoenixes and hell golems. Not aggressive to travelers but will eliminate anybody intending harm to the land it protects. It’s only been seen a handful of times in history and only one was ever successfully killed.",
https://www.shinseina.world/post/a-darkness-stead,unknown,A- Darkness Stead,,Forest and mountain.,,,"A legendary stead known only from legends and tales of knights that ride them into battle, they are said to be mighty, and the most loyal of partners, once they find a partner, they stay with them till death. They are strong, born from darkness, and live in darkness, they have the strength of darkness, and as such, they are adept at fighting at night.",
