url,category,Name,Availability,Region,Preparation,Cost,Description,Tags
https://www.shinseina.world/post/electricoral,unknown,Electricoral,Rare,"Oceans, Coral Reefs",Leaves must be brewed into liquid.,10 Gold a full fan,"Fantails are a type of electric centril coral found in the reefs of The Grand Blue. In the center, it has stinging tentacles for catching zooplankton. However, at night, it creates a visible field of electricity around it, creating a safe haven for fishy fauna that can absorb or are immune to this pheonomena. When consumed, Electricoral allows the consumer to control blasts of electricity for 10 turns, but in turn, they are much weaker to fire spells",
https://www.shinseina.world/post/edram,unknown,Entriste,Rare - Can be found during Summer,"desert, arid shrublands.",Grind/None,25 copper,"A small-leafed ivy that hugs the ground. Entriste's leaves absorb liquid and, when crushed, may be used to draw poison from a wound. 1 leaf absorbs a quarter-pint of liquid. Causes pain but draws 100% of poison from a wound if applied within 5 turns of insinuative poisoning. Does not work against gases or ""instant-death"" poisons.",
https://www.shinseina.world/post/entriste,unknown,Entriste,Rare - Can be found during Summer,"desert, arid shrublands.",Grind/None,25 copper,"A small-leafed ivy that hugs the ground. Entriste's leaves absorb liquid and, when crushed, may be used to draw poison from a wound. 1 leaf absorbs a quarter-pint of liquid. Causes pain but draws 100% of poison from a wound if applied within 5 turns of insinuative poisoning. Does not work against gases or ""instant-death"" poisons.",
https://www.shinseina.world/post/enlightenment,unknown,Enlightenment,Legendary,Forest,Grinding,Not sold,"Enlightenment is a very rare plant that is very hard to find and only grows within dense magical areas, randomly, as there is no special or specific way to grow this plant. This plant is able to answer 3 questions the user has in their mind.",
https://www.shinseina.world/post/evolite,unknown,Evolite,,,,,"Evolite is a very rare and powerful mineral that has the ability to rapidly evolve and adapt to its environment and the situation it is put into, and the things used against it, giving it the ability to constantly shift and grow to become either better or worse as time goes on and it experiences things. Due to its incredible versatility, Evolite has become highly sought after for use in advanced technological applications and magical creations, however, due to how unknown the forming process is, along with how very rare is it, finding even a pound is nearly impossible. It is so rare that people believe it to be a mere myth, as none has been found in recent times, some even believe it to be an artificial mineral.",
https://www.shinseina.world/post/ex-scrom,unknown,Ex-Scrom,Rare,Corrupted Land,None,None,A plant that seemingly has a mind of its own commonly being able to grab prey with its vine-like arms and spray a sleeping powder on them.,
https://www.shinseina.world/post/ex-ethos-lord,unknown,No Title,,,,,,
https://www.shinseina.world/post/electric-crystal,unknown,EX - The Lost God,,Unknown,,,"A being written about in records only, said to be able to bend realty at will and change the very fabric of the laws as we know them. No one knows anything else about the being, little records remain of it, but it is believed to have existed, and still does.",
https://www.shinseina.world/post/eterna-bloom,unknown,EX - The Lost God,,Unknown,,,"A being written about in records only, said to be able to bend realty at will and change the very fabric of the laws as we know them. No one knows anything else about the being, little records remain of it, but it is believed to have existed, and still does.",
https://www.shinseina.world/post/ex-the-lost-god,unknown,EX - The Lost God,,Unknown,,,"A being written about in records only, said to be able to bend realty at will and change the very fabric of the laws as we know them. No one knows anything else about the being, little records remain of it, but it is believed to have existed, and still does.",
