url,category,Name,Availability,Region,Preparation,Cost,Description,Tags
https://www.shinseina.world/post/c-astrodelphinus,unknown,C - Astrodelphinus,,Skies,,,"Astrodelphinus are large, gentle sky creatures resembling a blend between a beluga whale and an orca, adorned with glowing appendages and iridescent scales. Moving in curious packs, they light up when investigating new sights and prey on swarms of birds and small flying fauna. Though peaceful, they are hunted by larger aerial predators like Ski Whales.",
https://www.shinseina.world/post/borage,unknown,C - Bacwak,,Destroyed Swamp,,,"A tiny black dragon-like creature that is able to freely fly around and teleport even with their small size, many even believing them to be real dragons that have degraded over time. They usually grow up to the size of a palm then stop getting bigger, and are completely harmless usually even though they live in the corrupt swamp, but can be very dangerous when angered.",
https://www.shinseina.world/post/c-bacwak,unknown,C - Bacwak,,Destroyed Swamp,,,"A tiny black dragon-like creature that is able to freely fly around and teleport even with their small size, many even believing them to be real dragons that have degraded over time. They usually grow up to the size of a palm then stop getting bigger, and are completely harmless usually even though they live in the corrupt swamp, but can be very dangerous when angered.",
https://www.shinseina.world/post/c-arykin,unknown,C- Blank,,,,,"
Updated: Jun 29, 2024
Abilities:
•It can change into pretty much any shape, whether it be an animal, person, or thing
•It can mimic any sound, smell and even taste
•It can turn invisible at will
•Its hand can suck the nutritional value out of whatever it touches

Danger Ranking: C

Rarity: Rare

Region: Unknown

Description: A completely white creature with no facial features at all. It has very long limbs and powers that can allow it to be pretty much anything. It uses its abilities to drive its target mad then proceeds to absorb them.",
https://www.shinseina.world/post/c-blank,unknown,C- Blank,,,,,"
Updated: Jun 29, 2024
Abilities:
•It can change into pretty much any shape, whether it be an animal, person, or thing
•It can mimic any sound, smell and even taste
•It can turn invisible at will
•Its hand can suck the nutritional value out of whatever it touches

Danger Ranking: C

Rarity: Rare

Region: Unknown

Description: A completely white creature with no facial features at all. It has very long limbs and powers that can allow it to be pretty much anything. It uses its abilities to drive its target mad then proceeds to absorb them.",
https://www.shinseina.world/post/c-angraboba,unknown,C- Bazbon,,,,,"
Updated: Jun 29, 2024
Abilities:
•Can shoot out a freezing cold liquid from its mouth
•Very flexible and fast
•Can turn stuff it touches, with its hand, to ice

Danger Ranking: C

Rarity: Rare

Region: Frozen Areas

Description: A monkey-like creature that mainly lives in very cold and frozen areas, commonly the frozen forest, and other similar places. They tend to move in groups much like normal monkeys, and are generally friendly creatures, but love playing tricks on people.",
https://www.shinseina.world/post/c-bazbon,unknown,C- Bazbon,,,,,"
Updated: Jun 29, 2024
Abilities:
•Can shoot out a freezing cold liquid from its mouth
•Very flexible and fast
•Can turn stuff it touches, with its hand, to ice

Danger Ranking: C

Rarity: Rare

Region: Frozen Areas

Description: A monkey-like creature that mainly lives in very cold and frozen areas, commonly the frozen forest, and other similar places. They tend to move in groups much like normal monkeys, and are generally friendly creatures, but love playing tricks on people.",
https://www.shinseina.world/post/c-bottomless,unknown,C- Bottomless,,,,,"
Updated: Jun 29, 2024
Abilities:
•Strong enough to pull a tree out the ground
•Can eat endlessly
•Thick skin
•Grow extra mouths

Danger Ranking: C

Rarity: Uncommon

Region: Forest

Description: A large, ugly, monstrous looking creature with multiple mouths and a bottomless stomach and endless hunger. They normally have a huge club that it uses to smash the prey and eat them raw.",
https://www.shinseina.world/post/c-cromdea,unknown,No Title,,,,,,
https://www.shinseina.world/post/c-coralback,unknown,C - Deathwing Moth,,The Forsaken Lands,,,"The Deathwing Moth is a large, nocturnal insect with dark, ragged wings that shimmer with an unnatural glow. It flutters silently through the darkened forests and brackish waters, drawn to the scent of decay. When threatened, it releases a cloud of necrotic dust that withers living tissue, making it a dangerous foe despite its fragile appearance.",
