url,category,Name,Availability,Region,Preparation,Cost,Description,Tags
https://www.shinseina.world/post/d-phantasm,unknown,D - Phantasm,,,,,"
Updated: Jun 25, 2024
Abilities:
- They are made out of clouds and smoke.
- They are immune to physical damage due to being completely made out of clouds and smoke.
- They are able to create illusions with audio and sight to an extent.
Rarity: Uncommon
Location: Forest, Corrupted Swamp
Description
Believed to be made similar to an Air Elemental except with twisted and dark mana, the Phantasm is a trickster creature composed of an animate mass of mana. These creatures are much like clouds in their true form, incorporeal so that they can’t interact with physical objects. They can change the colors of their clouds down to exquisite detail, and create sounds, giving them the title ‘living illusions’. Mischievous and playful, but overall docile creatures, they are sometimes known to bond with humanoids they find entertaining. They can shrink down to the size of a bunny or expand to the size of a house. They’re weak to wind magic and mana construct attacks in their ‘area’, being split into too many parts before they can heal kills them, dispersing their cloud back into mist. They can be healed by feeding them mana, particularly air crystals.",
https://www.shinseina.world/post/d-octohone,unknown,D- Octohone,,,,,"
Updated: Jun 25, 2024
Abilities:
Water breathing
Night vision
Has suction cup tentacles as legs
Strong upper body
Hard horns
Danger Ranking: D

Rarity: Uncommon

Region: Ocean

Description: A half octopus looking creature with the upper body of a muscular human, with demonic like horns. The creature doesn't speak any language or understand, and the only thing it knows to do is fight.",
https://www.shinseina.world/post/d-psychodrake,unknown,D - Psychodrake,,Dragon Realm,,,"Psychodrake's are bat or pterosaur-like creatures with pronounced rostrums on their foreheads, covered in spines. Their wings are green and they resemble green leaves, allowing them to camouflage themselves as the leaves of trees when in groups. They range from having yellow stains on their heads and on the back of their bodies to having green, leaflike wings and brown bodies, or rarely with red and green stains on their bodies instead, usually signifying age.",
https://www.shinseina.world/post/d-onux,unknown,D - Pyroram,,Desert,,,"Pyroram is a creature that resembles a regular wild sheep. However unlike others of its kind, this sheep evolved to survive in volcanic mountains and hot desert areas, giving it a fiery-like wool. Unlike the animals they evolved from, these creatures feed on the mana surrounding the area, along with any plants that live there. These sheep normally travel in herds of between 50-100 at a time. If the area is profitable enough in both plant life and mana, the numbers can reach up to 500. Pyrorams are actually quite docile creatures; their wool, when sheared, is used to make clothing that gives the wearer resistance to heat.",
https://www.shinseina.world/post/d-pyroram,unknown,D - Pyroram,,Desert,,,"Pyroram is a creature that resembles a regular wild sheep. However unlike others of its kind, this sheep evolved to survive in volcanic mountains and hot desert areas, giving it a fiery-like wool. Unlike the animals they evolved from, these creatures feed on the mana surrounding the area, along with any plants that live there. These sheep normally travel in herds of between 50-100 at a time. If the area is profitable enough in both plant life and mana, the numbers can reach up to 500. Pyrorams are actually quite docile creatures; their wool, when sheared, is used to make clothing that gives the wearer resistance to heat.",
https://www.shinseina.world/post/d-scream-crow,unknown,D- Scream Crow,,,,,"
Updated: Jun 25, 2024
Abilities:
•As long as it has straw remaining it can build back up its body 

Danger Ranking: D

Rarity: Rare

Region: Unknown

Description: A creature that resembles the look of a scarecrow and can pretty much build back itself from any attack. It's commonly very aggressive and would attack anything in sight like a wild animal. The only way to properly kill it is by burning it.",
https://www.shinseina.world/post/d-rhiac,unknown,D- Rhiac,,,,,"
Updated: Jun 25, 2024
Abilities:
•Roughly as strong as an elephant
•Underneath fur, it has stone skin
•Moderate resistance to poison

Danger Ranking: D

Rarity: Common

Region: Forest, Swamps, & Mountains

Description: Roughly 3 meters tall, this resembles behaviors similar to a sloth. It is a herbivore and has developed a resistance to poison so it can eat a larger variety of plants. While incredibly slow, it’s durable skin make it so most predators don’t bother hunting it because it’s too hard to hurt. Sometimes people mistake it as a mossy rock.",
https://www.shinseina.world/post/d-sek,unknown,D- Sek,,,,,"
Updated: Jun 25, 2024
Abilities:
•Can absorb and expel energy from the sun like solar rays
•Fast and agile
•Sharp senses
•Can become bioluminescent at will
•Smarter than the average dog

Danger Ranking: D

Rarity: Rare

Region: Forest, Mountains, & Plains

Description: Entirely male, these are often used by Sun Elves as family protectors. Their element feathers and noble stature make them an exotic pet to collect or hunt. They are capable of mating with Loks and usually consist of 9 - 12 in a pack. Their above animal intelligence makes them more like companions than pets to those who treat them as such. They will die if they do not absorb solar energy for several days.",
https://www.shinseina.world/post/d-shapanther,unknown,D - Shapanther,,Forest,,,"A panther-like creature that lives in the forest and usually hunts in packs of 10 or more. Alone they aren't very strong, but due to how well they are at hunting together they can often pose a threat to solo targets. They are known for sneaking up on their prey and killing them without them noticing.",
https://www.shinseina.world/post/d-protobass,unknown,D - Sand-Rhino,,Desert,,,"These creatures are much akin to Rhino's, yet, they roam the deserts. These Sand-Rhino's as they have been deemed, tend to roam in packs of up to 15. They're decently docile creatures, only attacking other creatures if they feel that they're threatened, or if they have children nearby. When these situations are met, they do tend to charge people with their horns, then use their tails as a sort of deadly whip to finish them off.",
https://www.shinseina.world/post/d-spikehound,unknown,D- SpikeHound,,,,,"
Updated: Jun 25, 2024
Abilities:
• A hard body covered in expandable spikes
• A keen sense of smell and hearing
• The ability to feel vibrations in the ground

Danger Ranking: D

Rarity: Uncommon

Region: Mountains or Destroy Swamp

Description: A grotesque-looking creature in the form of a dog with spikes covering its entire body. They hunt solo, due to their competitive nature and unwillingness to work together, they often fight amongst their own kind. What they enjoy most is a good hunt, often letting prey run just so they can catch them slowly; playing with their food.",
https://www.shinseina.world/post/d-sand-rhino,unknown,No Title,,,,,,
https://www.shinseina.world/post/d-smollusk,unknown,D - Smollusk,,Sea,,,"Smollusks are slow, grazing creatures of the seafloor that secrete toxic fumes and wield razor-sharp undersides. Though easy to avoid due to their sluggishness, unwary divers who get too close often pay with their lives. Their oozing fumes can cripple even seasoned swimmers.",
https://www.shinseina.world/post/d-shek,unknown,d - Shek,,,,,"
Updated: Jun 25, 2024
Abilities:  
• Telepathic - Can telepathically communicate with anyone in 30m 
• Treasure instincts - Can instinctually find treasures 
• Parasitic shell - can take over corpses it sticks inside its shell and use physical capabilities
• Can breathe underwater and on land  

Danger Ranking: D  

Rarity: Rare/Uncommon  

Region: Above Water [Rare] / Underwater [Uncommon]  

Description: Large crab-like creatures. They can store things inside their shell and use the thing's capabilities as their own. They tend to do this with animal corpses, like octopi, using their tentacles to defend themselves. They love hiding their treasures in underwater caves.",
https://www.shinseina.world/post/d-squid-of-life-and-death,unknown,D - Squid of Life and Death,,Ocean.,,,"The Squid of Life and Death is not the name of one, but two squids that live within the deep oceans of the world, often found very deep under the surface, where sunlight does not reach. The Life Squid, the male of the species, often moves in packs and uses their speed to stay alive and avoid people, while the Death Squid, the female of the species, tends to move alone and kill anything they come across with their hard but slow body.",
https://www.shinseina.world/post/d-talid,unknown,D- Talid,,,,,"
Updated: Jun 25, 2024
Abilities:
•Has a bite that can paralyze
•Are fast
•Can hide
Danger Rankng: D

Rarity: Common

Region: Plains and Forest

Description Small rabbit fox like creatures. They are herbivores that tend to forage during the day and hide at night. These creatures are low on the food chain due to their lack of defenses relying on their bite to help them get away.",
